depository_accession,depository_source,species
E-MTAB-375,AE,Arabidopsis thaliana
GSE65046,GEO,Arabidopsis thaliana
GSE96041,GEO,Arabidopsis thaliana
GSE5624,GEO,Arabidopsis thaliana
GSE76827,GEO,Arabidopsis thaliana
GSE5622,GEO,Arabidopsis thaliana
GSE5620,GEO,Arabidopsis thaliana
PPH_2021,InHouse,Arabidopsis thaliana
GSE46208,GEO,Arabidopsis thaliana
GSE46205,GEO,Arabidopsis thaliana
GSE5623,GEO,Arabidopsis thaliana
GSE46524,GEO,Arabidopsis thaliana
E-MTAB-3908,AE,Arabidopsis thaliana
GSE22107,GEO,Arabidopsis thaliana
GSE16474,GEO,Arabidopsis thaliana
GSE79355,GEO,Arabidopsis thaliana
GSE196725,GEO,Arabidopsis thaliana
GSE119383,GEO,Arabidopsis thaliana
PSR_2020,"InHouse, request from Martijn",Arabidopsis thaliana
GSE152458,GEO,Arabidopsis thaliana
GSE167129,GEO,Arabidopsis thaliana
GSE71001,GEO,Arabidopsis thaliana
E-MEXP-754,AE,Arabidopsis thaliana
E-MTAB-3044,AE,Arabidopsis thaliana
E-MEXP-2174,AE,Arabidopsis thaliana
GSE110079,GEO,Arabidopsis thaliana
PPH_2018,InHouse,Arabidopsis thaliana
GSE13584,GEO,Arabidopsis thaliana
GSE119330,GEO,Arabidopsis thaliana
GSE130964,GEO,Arabidopsis thaliana
GSE121383,GEO,Arabidopsis thaliana
GSE138132,GEO,Arabidopsis thaliana
GSE138131,GEO,Arabidopsis thaliana
E-MTAB-4434,AE,Arabidopsis thaliana
GSE168120,GEO,Arabidopsis thaliana
GSE18624,GEO,Arabidopsis thaliana
GSE196602,GEO,Arabidopsis thaliana
GSE162310,GEO,Arabidopsis thaliana
GSE134945,GEO,Arabidopsis thaliana
GSE124340,GEO,Arabidopsis thaliana
GSE108610,GEO,Arabidopsis thaliana
GSE119382,GEO,Arabidopsis thaliana
GSE110857,GEO,Arabidopsis thaliana
GSE93979,GEO,Arabidopsis thaliana
GSE77815,GEO,Arabidopsis thaliana
GSE72050,GEO,Arabidopsis thaliana
GSE65414,GEO,Arabidopsis thaliana
GSE48474,GEO,Arabidopsis thaliana
GSE42290,GEO,Arabidopsis thaliana
GSE40061,GEO,Arabidopsis thaliana
GSE19700,GEO,Arabidopsis thaliana
GSE15577,GEO,Arabidopsis thaliana
GSE10643,GEO,Arabidopsis thaliana
GSE70861,GEO,Arabidopsis thaliana
GSE2268,GEO,Arabidopsis thaliana
E-MTAB-5009,AE,Arabidopsis thaliana
E-MTAB-3279,AE,Arabidopsis thaliana
E-MEXP-1863,AE,Arabidopsis thaliana
E-MTAB-11006,AE,Arabidopsis thaliana
E-MEXP-3999,AE,Arabidopsis thaliana
GSE161366,GEO,Arabidopsis thaliana
GSE152163,GEO,Arabidopsis thaliana
GSE193762,GEO,Arabidopsis thaliana
GSE60870,GEO,Arabidopsis thaliana
GSE113950,GEO,Arabidopsis thaliana
GSE118298,GEO,Arabidopsis thaliana
GSE221657,GEO,Arabidopsis thaliana
GSE207364,GEO,Arabidopsis thaliana
GSE137264,GEO,Arabidopsis thaliana
GSE101782,GEO,Arabidopsis thaliana
GSE99283,GEO,Arabidopsis thaliana
GSE108162,GEO,Arabidopsis thaliana
GSE216360,GEO,Arabidopsis thaliana
GSE181292,GEO,Arabidopsis thaliana
GSE167879,GEO,Arabidopsis thaliana
E-GEOD-13822,AE,Arabidopsis thaliana
GSE158939,GEO,Arabidopsis thaliana
GSE142354,GEO,Arabidopsis thaliana
CRA001128,BIG,Arabidopsis thaliana
CRA001535,BIG,Arabidopsis thaliana
GSE124003,GEO,Arabidopsis thaliana
PRJNA636228,BioProject,Arabidopsis thaliana
GSE27550,GEO,Arabidopsis thaliana
GSE27548,GEO,Arabidopsis thaliana
GSE162240,GEO,Arabidopsis thaliana
GSE72806,GEO,Arabidopsis thaliana
GSE146206,GEO,Arabidopsis thaliana
GSE16765,GEO,Arabidopsis thaliana
GSE60260,GEO,Arabidopsis thaliana
E-GEOD-20494,AE,Arabidopsis thaliana
GSE112051,GEO,Arabidopsis thaliana
GSE121225,GEO,Arabidopsis thaliana
GSE116069,GEO,Arabidopsis thaliana
GSE71488,GEO,Arabidopsis thaliana
GSE94885,GEO,Arabidopsis thaliana
GSE90562,GEO,Arabidopsis thaliana
GSE95202,GEO,Arabidopsis thaliana
GSE71855,GEO,Arabidopsis thaliana
